-233,481,228
-253,481,211
-275,454,205
-272,467,205
-291,460,213
-299,460,211
-308,464,212
-331,485,212
-338,483,205
-352,489,206
-368,505,201
-376,514,222
-404,546,210
-407,533,215
-389,541,240
-383,582,233
-379,604,235
-355,624,248
-343,649,242
-323,646,235
-295,654,247
-282,662,252
-245,666,251
-255,661,246
-255,658,248
-254,676,237
-254,728,205
-249,765,132
-264,794,37
-252,794,-55
-264,794,-137
-264,771,-230
-264,773,-217
-261,790,-103
-263,790,-1
-255,772,116
-245,732,173
-231,665,227
-249,599,262
-236,522,232
-208,433,187
-238,394,128
-239,343,37
-245,307,-63
-254,301,-107
-241,311,-87
-275,322,-22
-299,336,-16
-336,316,-55
-348,316,-102
-371,319,-120
-370,318,-168
-366,314,-160
-382,327,-130
-356,335,-65
-306,328,-3
-263,349,31
-217,344,36
-170,361,5
-151,365,-68
-136,371,-133
-138,363,-218
-179,357,-288
-194,349,-318
-189,349,-293
-138,365,-223
-119,382,-80
-164,410,101
-215,405,136
-235,397,133
-252,472,202
-273,582,246
-261,656,238
-248,724,193
-262,781,70
-266,806,-26
-267,786,-110
-267,760,-227
-262,747,-277
-269,749,-280
-275,786,-155
-273,804,-38
-262,792,72
-239,742,177
-222,677,233
-230,619,258
-255,510,248
-245,437,181
-249,364,70
-239,330,-40
-236,311,-137
-227,299,-166
-239,314,-112
-239,353,42
-248,431,158
-255,521,251
-271,582,258
-258,632,261
-231,636,252
-230,658,246
-206,639,257
-180,596,255
-207,563,251
-206,541,242
-226,509,242
-217,489,226
-254,475,217
-269,443,200
-308,480,220
-328,509,232
-340,537,258
-306,566,268
-313,586,267
-303,594,275
-277,599,285
-268,619,268
-245,637,266
-229,673,250
-258,714,213
-317,772,128
-345,793,-31
-340,780,-171
-348,755,-252
-340,709,-358
-341,633,-412
-314,529,-471
-294,442,-453
-255,363,-393
-225,331,-223
-174,341,-56
-165,382,77
-174,466,178
-180,541,235
-207,613,266
-201,668,242
-199,669,228
-165,689,187
-156,753,71
-171,769,-76
-229,765,-240
-286,714,-336
-365,653,-401
-407,596,-412
-444,532,-413
-452,405,-336
-380,315,-191
-305,308,-42
-231,369,92
-174,439,156
-148,487,186
-159,513,216
-194,555,231
-236,620,257
-252,641,262
-261,687,238
-250,716,201
-254,757,142
-271,796,48
-275,800,-80
-273,793,-161
-276,782,-193
-278,788,-156
-281,801,-81
-280,800,57
-285,747,175
-264,657,257
-263,553,248
-263,455,191
-261,351,65
-261,323,-48
-252,293,-162
-253,320,-238
-254,314,-265
-247,322,-225
-253,299,-123
-268,368,68
-275,501,232
-297,599,260
-252,652,252
-240,687,226
-264,747,160
-289,804,41
-263,790,-123
-250,761,-228
-261,740,-291
-271,716,-323
-261,672,-361
-286,584,-443
-308,520,-462
-291,497,-471
-304,532,-473
-287,541,-465
-300,530,-462
-303,536,-477
-285,546,-472
-346,570,-462
-345,606,-443
-310,623,-432
-305,620,-422
-304,621,-433
-257,583,-455
-249,528,-462
-239,491,-467
-275,435,-455
-276,423,-448
-300,404,-427
-303,425,-452
-345,473,-461
-354,557,-445
-352,672,-371
-327,751,-233
-304,798,-103
-257,794,25
-198,765,70
-202,740,156
-213,646,262
-243,537,258
-269,477,222
-259,380,97
-244,330,-50
-252,345,27
-257,454,195
-258,587,263
-262,665,240
-271,745,163
-264,794,65
-267,792,-75
-275,773,-197
-268,761,-211
-280,786,25
-269,744,172
-261,672,243
-250,629,261
-253,632,268
-253,627,261
-263,648,256
-234,636,260
-225,619,261
-211,609,250
-194,584,248
-178,554,232
-178,551,237
-196,546,235
-198,525,240
-227,503,243
-249,485,227
-259,493,232
-299,489,236
-292,491,237
-277,499,235
-258,484,226
-227,503,243
-187,521,223
-179,545,218
-188,565,235
-210,592,253
-220,608,243
-227,619,253
-258,632,258
-263,616,2
-268,650,251
-263,706,208
-254,765,145
-272,784,57
-264,800,-17
-264,792,-122
-262,773,-182
-268,785,-143
-272,794,40
-282,757,145
-278,714,223
-268,650,253
-261,576,256
-240,487,230
-249,388,110
-241,343,2
-235,328,-33
-236,385,85
-247,477,200
-269,562,247
-243,645,253
-170,678,200
-110,709,21
-140,731,-147
-182,724,-226
-169,724,-211
-134,728,-75
-129,689,102
-170,657,217
-241,636,257
-360,584,226
-467,518,66
-506,501,-92
-505,513,-153
-500,510,-63
-435,543,150
-294,584,258
-188,591,242
-180,586,230
-201,644,227